,Operations O&M Charging Guidelines,,,,,,,,,,,,"REFERENCE ONLY BASED ON ""DUKE"" SYSTEMS - NOT BEING UPDATED"
,"RENEWABLE OPERATIONS RC's, BU's & OU's",,,,,,,,,,,,
,,,,,,,,,,,,,
,General,,,,,,Solar Sites,,,,,,
,,Route Code,RC,BU,OU,,,Route Code,RC,BU,OU,,
,Wind Operations Admin,,,75752,DWOP,,Ajo,DEGSREAZHL,R250,75717,DAJ1,,
,Solar Operations Admin,,,"75748
77079 in IFS",DSOP,,Bagdad,DEGSREAZHL,R251,75718,DBS1,,
Renewables Services,Third-Party Services Admin,,,75736,DOES,,Battleboro (aka SolNCPower5),DEGSBATSOL,R319,75551,BATL,,
,Mobile Service Team (MST),DEGSOUTLAN,,75736,DMST,,Bethel Price,DEGSBPSOLR,R302,75804,DBPS,,
,Central Services Support,,,75736,DCSV,,Black Mesa,DEGSBLKMSA,R482,77021,BLCK (BKLM in IFS),,
,Central Services Field Services,DEGSCFST,HW36,75736,CFST,,,,,"75986 
75736 in IFS",XBMS,,
,Central Services Gearbox Repair,DEGSCGBT,HW37,75736,CGBT,,Black Mountain,DEGSBLKMTN,R265,75726,DBMS,,
,Central Services Large Corrective,DEGSCLCT,HW38,75736,CLCT,,Broad River,DEGSBRDRVR,R398,77002,BRRV,,
,High Voltage Team,HVWIND,HW35,75736,HVLT,,,,,"75986 
75736 in IFS",XBRV,,
,Renewables Control Center (RCC),DEGSDWCC,HW23,75736,DWCC,,Caprock,DEGSCAPRK1,R350,75555,CAP1,,
,Blade Maintenance,DEGSBLADE,HW39,75736,DBMT,,Conetoe,DEGSCONSOL,R322,75553,CONE,,
,Renewable Operations Material Management,DEGSCORP,HW40,75736,ROMM,,Creswell,DEGSCRESOL,R315,75812,CRES,,
,,,,,,,Dogwood (aka Scotland Neck),DEGSDOGWDS,R277,75738,DDWS,,
,Wind Sites,,,,,,East Blackland (aka Pflugerville),DEGSEBSLSO,R454,75993,EBSL,,
,,Route Code,RC,BU,OU,,,,,"75986 
75736 in IFS",XPFL,,
,Campbell Hill,DEGSWDOPCH,HW25,75764,TBWP,,Everetts,DEGSEVESOL,R316,75813,EVER,,
,Cimarron,DEGSWDOPCM,HW29,75679,CM2W,,Franklin (COD 6/24),DEGSFRNKSO ,R430,75972,FRNK,,
,Frontier,DEGSWDOPFR,R339,75824,FRON,,Garysburg,DEGSGARYSB,R354,75558,GARY,,
,Frontier II,DEGSWDOPF2,R381,75880,FRN2,,Gaston,DEGSGASTSO,R344,75843,GAST,,
,Happy Jack,DEGSWDOPHJ,HW21,75753,HJKW,,Gato Montes (aka AstroSol),DEGSASTROS,R247,75729,DATP,,
,Ironwood,DEGSWDOPIW,HW28,75676,IWWP,,Halifax (aka HXOap Solar 1),DEGSHFAXSO,R314,75811,HFAX,,
,Kit Carson,DEGSWDOPKC,HW26,75767,KCWP,,Hertford (aka SolNCPower10),DEGSHERTSO,R347,75554,HERT,,
,Laurel Hill,DEGSWDOPLH,HW27,75865,CLHW,,Highlander 1,DEGSHIGHS1,R284,75649,HIS1,,
,Ledyard,DEGSWDOPLY,R407,75940,LEDY,,Highlander 2,DEGSHIGHS2,R285,75659,HIS2,,
,Los Vientos 1A,DEGSWDOPLA,HW30,75683,LV1A,,Holstein,DEGSHLSTSO,HW47,75946,HOLS,,
,Los Vientos 1B,DEGSWDOPLB,HW31,75723,LV1B,,,,,"75986 
75736 in IFS",XHOL,,
,Los Vientos III,DEGSWDOPL3,R296,75668,LV03,,Jackpot ,DEGSJACKPT,R429,75971,JACK,,
,Los Vientos IV,DEGSWDOPL4,R298,75801,LV04,,,,,"75986 
75736 in IFS",XJCK,,
,Los Vientos V,DEGSWDOPL5,R312,75808,LV05,,Kelford,DEGSKELFRD,R309,75807,KELF,,
,Maryneal,DEGSWDOPMY,R227,75798,MARY,,Lapetus,DEGSLAPTSO,R393,75881,LPTS,,
,Mesquite Creek,DEGSWDOPMC,R331,75816,MESQ,,,,,"75986 
75736 in IFS",XLAP,,
,Mesteno,DEGSWDOPME,HW46,75856,MEST,,Long Farm,DEGSLF46SO,R340,75840,LONG,,
,North Allegheny,DEGSWDOPAL,R219,75766,NAWD,,Longboat,DEGSLGBOAT,R353,75557,BOAT,,
,Notrees,DEGSWDOPNT,R204,75755,NTRW,,Martins Creek,DEGSMRNCR,R239,75677,DMCS,,
,Notrees Battery,,,75755,NTBA,,Murphreesboro (aka Solar Star NC II),DEGSSLSTR2,R234,75673,DSS2,,
,Shirley,DEGSWDOPSH,R248,75715,SHRW,,Murphy Farm,DEGSMURFRM,R241,75678,DMFP,,
,Silver Sage,DEGSWDOPSS,R217,75763,SLSG,,Murphy Point (aka Wingate),DEGSCSMURP,R244,75689,DCSM,,
,Top of the World,DEGSWDOPTW,R216,75785,TOPW,,NC Renewable Properties (aka Holiness),DEGSNCRENW,R245,75712,DNCR,,
,,,,,,,North Rosamond,DEGSNROSA1,R385,75885,NROS,,
,Third-Party Services Sites,,,,,,Orlando (aka OUC),DEGSRPORLN,R236,75674,DRPO,,
,,,RC,BU,OU,,Palmer,DEGSPALMER,R408,75941,PALM,,
,"Madison, Gas, & Electric: Rosiere",DEGSMGEWPS,R323,75736,MGEC,,,,,"75986 
75736 in IFS",XPAL,,
,Reedy Creek: Disney,,,75736,DISN,,Pasquotank,DEGSPASQTK,HW34,75807,PASQ,,
,,,,,,,Pike Solar (COD 12/23),DEGSPIKESO,R499,77038,PIKE,,
,,,,,,,Pisgah Ridge,DEGSPISGAH,HW41,75977,PISG,,
,,,,,,,,,,75986,XPIS,,
,,,,,,,Pumpjack,DEGSPUMJSO,R303,75550,PPJK,,
,,,,,,,Rambler,DEGSRAMBSO,R409,75947,RAMB,,
,,,,,,,,,,"75986 
75736 in IFS",XRAM,,
,,,,,,,Rio Bravo I,DEGSRIOBR1,R361,75561,RBS1,,
,,,,,,,Rio Bravo II,DEGSRIOBR2,R362,75562,RBS2,,
,,,,,,,River Road,DEGSRIVRD,R359,75848,RVRD,,
,,,,,,,Seaboard,DEGSSEASOL,R355,75559,SEAB,,
,,,,,,,Seville I,DEGSSLSVS1,R338,75822,SVS1,,
,,,,,,,Seville II,DEGSSLSVS2,R336,75821,SVS2,,
,,,,,,,Shawboro (aka Fresh Air Energy),DEGSSHAWSO,R333,75818,SHAW,,
,,,,,,,Shelby (aka Solar Star I),DEGSSLRSTR,R223,75747,STNC,,
,,,,,,,Shoreham,DEGSSHORES,R370,75872,SHSC,,
,,,,,,,Speedway,DEGSSPEEDY,R396,77002,SPWY,,
,,,,,,,,,,"75986 
75736 in IFS",XSWY,,
,,,,,,,Stony Knoll,DEGSSTONEY,R397,77002,STNY,,
,,,,,,,,,,"75986 
75736 in IFS",XSTN,,
,,,,,,,Sunbury (aka SolNCPower6),DEGSSUNSOL,R321,75552,SUNB,,
,,,,,,,Sunset (aka SF City 1),DEGSSFCTY1,R253,75722,DSFL,,
,,,,,,,Tarboro,DEGSTARBSO,R341,75841,TARB,,
,,,,,,,Taylorsville ,DEGSTAYLRV,R233,75671,DTAY,,
,,,,,,,TX Solar I (aka Blue Wing),DEGSTXSOLR,R222,75745,TXS1,,
,,,,,,,Victory,DEGSVICTSO,R360,75849,VICT,,
,,,,,,,Washington Airport,DEGSWWASOL,R295,75640,DWWA,,
,,,,,,,Washington Millfield,DEGSWMSOLR,R294,75639,DWMS,,
,,,,,,,Washington White Post ,DEGSWWPSOL,R275,75734,DWPS,,
,,,,,,,Whitakers,DEGSWHITKR,R310,75807,WHIT (WHTK in IFS),,
,COD for future sites as noted on Jul 2023 score card,,,,,,Wildflower (COD 3/24),,R492,77031,WLDF,,
,,,,,,,Wildwood I,DEGSWILWSO,R304,75780,WDWD,,
,,,,,,,Wildwood II,DEGSWWOOD2,R363,75563,WDW2,,
,,,,,,,Windsor Cooper Hill,DEGSWCHSOL,R301,75803,DWCH,,
,,,,,,,Winton,DEGSWINTSO,R342,75842,WINT,,
,,,,,,,Woodland,DEGSWOODLD,R356,75560,WOOD,,
